epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3033.25,0.64405,0.32908,0.0026,0.8592,0.86325,0.91153,0.84911,0.42142,0.53052,0.00246,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,3078.58,0.63856,0.32504,0.00265,0.79654,0.82649,0.84301,0.7918,0.41501,0.96963,0.00244,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,3122.81,0.63337,0.3105,0.00266,0.85931,0.84369,0.91786,0.85416,0.42244,0.6568,0.00253,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,3168.31,0.63373,0.30881,0.00257,0.90868,0.90011,0.93449,0.86395,0.41486,0.45781,0.00245,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,3215.47,0.62294,0.31615,0.00262,0.86843,0.85858,0.9214,0.86086,0.40693,0.54185,0.0024,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,3267.98,0.63151,0.31697,0.00264,0.83288,0.91962,0.93549,0.86017,0.43386,0.43793,0.00253,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,3319,0.61907,0.30258,0.00251,0.80036,0.81378,0.83808,0.78545,0.41297,0.95396,0.00244,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,3370.46,0.617,0.29222,0.00259,0.81601,0.81049,0.86069,0.80015,0.43337,0.92454,0.00256,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,3421.48,0.6199,0.29681,0.0026,0.86949,0.8721,0.92202,0.85965,0.43193,0.54169,0.0026,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,3472.32,0.63891,0.3137,0.00258,0.80517,0.83651,0.83907,0.78478,0.41411,0.86652,0.00246,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,3524.11,0.61425,0.30288,0.00254,0.86896,0.85133,0.89572,0.8297,0.46025,0.61548,0.0027,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,3575.01,0.62711,0.30117,0.00257,0.86371,0.87527,0.92898,0.86652,0.42842,0.5051,0.00253,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,3626.68,0.6184,0.29187,0.00252,0.80348,0.78542,0.84324,0.78664,0.44217,1.03222,0.00263,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
77,3678.31,0.6267,0.29728,0.00259,0.78668,0.79109,0.82458,0.75065,0.45365,1.1488,0.00276,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
78,3729.66,0.61771,0.30309,0.00254,0.7728,0.75417,0.70814,0.64987,0.47787,1.42232,0.0029,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377,0.0277131,0.0092377
79,3780.92,0.61347,0.30267,0.00254,0.82664,0.86961,0.91742,0.84073,0.47397,0.71808,0.00286,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
80,3832.3,0.61473,0.30384,0.00252,0.81763,0.83558,0.87468,0.8017,0.49028,0.87252,0.00298,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,3884.63,0.61471,0.28352,0.00252,0.81329,0.77996,0.8042,0.72201,0.54599,1.11592,0.00335,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,3936.47,0.60512,0.27824,0.00249,0.83883,0.89241,0.89833,0.83592,0.43527,0.63506,0.00259,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,3987.89,0.59346,0.29102,0.00246,0.8442,0.79863,0.83196,0.76362,0.46858,0.8523,0.00285,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,4040.1,0.62187,0.30298,0.00249,0.79612,0.81722,0.81317,0.75822,0.41465,1.0408,0.00239,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,4091.73,0.6018,0.28022,0.0025,0.79019,0.86767,0.8451,0.77973,0.42126,0.86709,0.00246,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,4142.89,0.61842,0.30278,0.00253,0.75067,0.79441,0.78801,0.73021,0.43893,1.11405,0.00263,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,4194.3,0.60836,0.30734,0.00252,0.73171,0.76123,0.72506,0.67868,0.41047,1.43484,0.00241,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,4243.76,0.62094,0.301,0.00251,0.77811,0.8197,0.80672,0.74897,0.39444,1.07426,0.00235,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,4295.58,0.59842,0.28258,0.00243,0.81456,0.8619,0.84435,0.78536,0.41892,0.88323,0.0025,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
90,4347.74,0.60233,0.28345,0.0025,0.7611,0.7441,0.76288,0.70583,0.41417,1.48791,0.00253,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189,0.0273567,0.0091189
91,4399.87,0.59943,0.27891,0.00246,0.82553,0.89028,0.87772,0.8149,0.40564,0.71103,0.00236,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
92,4452.19,0.59607,0.27974,0.00243,0.81902,0.77017,0.78123,0.72245,0.44283,1.16193,0.0026,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991,0.0272973,0.0090991
93,4503.81,0.60563,0.27532,0.00252,0.78134,0.82653,0.81883,0.75562,0.41919,1.10638,0.00246,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
94,4554.23,0.60378,0.30033,0.0025,0.76445,0.80055,0.80899,0.74682,0.43424,1.31495,0.00263,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793,0.0272379,0.0090793
95,4603.94,0.6052,0.29185,0.0025,0.82487,0.82342,0.84395,0.77839,0.45929,0.91156,0.00275,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
96,4653.8,0.60884,0.28175,0.00255,0.75752,0.82019,0.83559,0.76653,0.4874,1.09993,0.00292,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
97,4703.9,0.61035,0.2767,0.00247,0.82499,0.82307,0.86624,0.80504,0.43476,0.96444,0.00267,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
98,4753.59,0.60167,0.27925,0.00244,0.75886,0.75415,0.75997,0.70824,0.42165,1.55154,0.00256,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397,0.0271191,0.0090397
99,4803.71,0.60052,0.27676,0.00243,0.77481,0.83417,0.8467,0.78547,0.45365,1.12216,0.00288,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
100,4853.64,0.58726,0.25773,0.00243,0.77979,0.79398,0.82446,0.76085,0.44876,1.15781,0.00273,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199,0.0270597,0.0090199
101,4904.25,0.59302,0.28197,0.00244,0.84509,0.85993,0.90258,0.83725,0.44858,0.59843,0.00269,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
102,4954.73,0.59954,0.28441,0.00251,0.76958,0.78967,0.7814,0.72803,0.44578,1.20162,0.00273,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001,0.0270003,0.0090001
103,5004.29,0.59817,0.26662,0.00243,0.84679,0.86887,0.89349,0.8295,0.41508,0.66296,0.00248,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
104,5054.47,0.58373,0.27554,0.0024,0.85172,0.86556,0.91156,0.84529,0.4515,0.58023,0.00271,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803,0.0269409,0.0089803
105,5105.32,0.59328,0.26958,0.00241,0.84752,0.83335,0.88287,0.82331,0.43615,0.72447,0.00261,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
